RunId,PlotId,MonStatus,MonStatusOrder,TreeSpecies,TreeExpansionFactor,Diameter,TreeHeight,CrownBaseHeight,TreeStatus,CrownClass,CrownRatio,BoleCharHeight,CrownScorch%,ScorchHeight,CKR,BeetleDamage,EquationType,FlLe/ScHt,FS,Severity,BehaveProbability,FOFEMProbability,AbsoluteDifference
140,CS-QULA2-5-25-30-3,30,3,QULA2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,71,0.436977,
141,CS-QULA3-5-25-30-3,30,3,QULA3,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,71,0.106594,
142,CS-QULO-5-25-30-3,30,3,QULO,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,67,0.241227,
143,CS-QULY-5-25-30-3,30,3,QULY,100,5,25,,,,30,,,,,,CRNSCH,3,S,,69,69,0.466575,
144,CS-QUMA2-5-25-30-3,30,3,QUMA2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,68,0.198813,
145,CS-QUMI-5-25-30-3,30,3,QUMI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,65,66,0.450677,
146,CS-QUMU-5-25-30-3,30,3,QUMU,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,68,0.198813,
147,CS-QUNI-5-25-30-3,30,3,QUNI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,71,0.106594,
148,CS-QUTE-5-25-30-3,30,3,QUTE,100,5,25,,,,30,,,,,,CRNSCH,3,S,,74,74,0.292583,
149,CS-QUPA2-5-25-30-3,30,3,QUPA2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,68,0.358848,
150,CS-QUPH-5-25-30-3,30,3,QUPH,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,68,0.358848,
151,CS-QURU-5-25-30-3,30,3,QURU,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,68,0.198813,
152,CS-QUSH-5-25-30-3,30,3,QUSH,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,71,0.436977,
153,CS-QUESPP-5-25-30-3,30,3,QUESPP,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,66,0.115117,
154,CS-QUST-5-25-30-3,30,3,QUST,100,5,25,,,,30,,,,,,CRNSCH,3,S,,66,67,0.320856,
155,CS-QUVI-5-25-30-3,30,3,QUVI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,67,0.241227,
156,CS-QUWI2-5-25-30-3,30,3,QUWI2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,72,72,0.183598,
157,CS-ROPS-5-25-30-3,30,3,ROPS,100,5,25,,,,30,,,,,,CRNSCH,3,S,,63,64,0.156873,
158,CS-SABE2-5-25-30-3,30,3,SABE2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
159,CS-SANI-5-25-30-3,30,3,SANI,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
160,CS-SALSPP-5-25-30-3,30,3,SALSPP,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,68,0.358848,
161,CS-SOAM3-5-25-30-3,30,3,SOAM3,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
162,CS-TABR2-5-25-30-3,30,3,TABR2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,76,77,0.167978,
163,CS-TADI2-5-25-30-3,30,3,TADI2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,76,77,0.167978,
164,CS-TAAS-5-25-30-3,30,3,TAAS,100,5,25,,,,30,,,,,,CRNSCH,3,S,,67,68,0.198813,
165,CS-THOC2-5-25-30-3,30,3,THOC2,100,5,25,,,,30,,,,,,CRNSCH,3,S,,76,77,0.167978,
166,CS-THPL-5-25-30-3,30,3,THPL,100,5,25,,,,30,,,,,,CRNSCH,3,S,,71,72,0.35316,
167,CS-TIAM-5-25-30-3,30,3,TIAM,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,70,0.0162941,
168,CS-TSCA-5-25-30-3,30,3,TSCA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,69,69,0.466575,
169,CS-TSHE-5-25-30-3,30,3,TSHE,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
170,CS-TSME-5-25-30-3,30,3,TSME,100,5,25,,,,30,,,,,,CRNSCH,3,S,,68,69,0.0859648,
